id,groupid,groupname,boardid,boardname,lat,long,status,lastupdate,note,comment
63,group2,チーム深作,宮前48,グラシューヴィラ（石川さま）,35.5735976,139.6086357,0,2021/03/06,,
64,group2,チーム深作,宮前49,持田自動車,35.5719676,139.5877134,1,2025/12/14,,
65,group2,チーム深作,宮前50,柴田薫様（東部ガス圧接有限会社会長）,35.5725389,139.6045508,2,2023/03/20,,
66,group2,チーム深作,宮前51,東部ガス圧接有限会社　寮,35.5727579,139.6046027,1,2020/07/16,,
67,group2,チーム深作,宮前52,東部ガス圧接有限会社,35.57682580000001,139.6080415,2,2021/08/14,A0含む,
68,group2,チーム深作,宮前53,ミルトニア・ビレッジ,35.5898504,139.5906898,4,2020/04/25,,
69,group2,チーム深作,宮前54,サザンクロス宮前２,35.5842392,139.5845145,5,2025/08/15,,
70,group2,チーム深作,宮前55,サザンクロス宮前,35.5845506,139.5844651,6,2025/12/14,,
71,group2,チーム深作,宮前56,グランベリー宮崎,35.58288,139.5892539,0,2022/05/01,A0含む,
72,group2,チーム深作,宮前57,ヒルズ千里,35.5825413,139.5844239,1,2021/03/01,,
73,group1,チーム深作,宮前58,グランベリー鷺沼,35.5814974,139.5847352,2,2021/12/25,,
74,group1,チーム深作,宮前59,ヒルズ美里,35.5816481,139.5840641,4,2025/07/17,,
75,group1,チーム深作,都筑20,善友印刷,35.5208447,139.5847836,5,2024/05/10,,
76,group1,チーム深作,宮前60,持田邸,35.5790931,139.5819909,6,2025/08/23,,
77,group1,チーム深作,宮前61,カーサベルデ,35.6009088,139.5700085,0,2020/01/11,,
78,group1,チーム深作,宮前62,秋代さん畑,35.60276959999999,139.5709397,1,2025/08/06,,
79,group1,チーム深作,宮前63,グランチェスタ１,35.5811956,139.5901913,2,2021/09/09,,
80,group1,チーム深作,宮前65,名古屋さま物件②,35.5807233,139.590248,1,2020/05/25,,
81,group2,チーム深作,宮前66,石坂邸,35.60400449999999,139.5791003,2,2021/01/01,,
82,group2,チーム深作,宮前67,HOKUTO,35.6012294,139.5870759,4,2024/02/25,,
83,group2,チーム深作,宮前68,ジョナタステージョ邸,35.5945346,139.5845053,5,2021/08/22,,
84,group2,チーム深作,宮前69,薔薇美容室,35.5739815,139.6186825,6,2021/05/01,,
85,group2,チーム深作,都筑21,栗原邸,35.5579171,139.6056167,0,2021/07/27,,
86,group2,チーム深作,都筑22,菊池邸,35.5513891,139.5920836,1,2024/05/27,,
87,group2,チーム深作,都筑23,織茂ハイツ,35.56605589999999,139.5811409,2,2023/04/28,オーナーはすみれ堂ご主人,
88,group2,チーム深作,都筑24,深井邸,35.5664805,139.5820167,4,2023/12/13,,
89,group2,チーム深作,都筑25,戸田邸,35.540673,139.5889043,5,2020/05/24,要確認,
90,group2,チーム深作,都筑26,小泉建具店,35.5532119,139.5981501,6,2025/09/18,,
91,group1,チーム深作,都筑27,加藤邸（ローソン大棚店となり）,35.5506051,139.5948813,0,2021/09/12,,
92,group1,チーム深作,港北2,荏原駐車場,35.5548697,139.6224936,1,2023/10/19,広報板１・ポスター１,
93,group1,チーム深作,青葉1,オートクラブ ヨコハマ,35.5600834,139.5567709,2,2021/12/04,広報板横１・ポスター１,
94,group4,鎌倉市,1-1,十二所114番地,35.3218603,139.5800409,0,,森宅ブロック塀,
95,group4,鎌倉市,1-2,十二所98番地1,35.3198913,139.5799112,0,,金田宅塀,
96,group4,鎌倉市,1-3,浄明寺六丁目2番,35.3164438,139.5765431,0,,浄明寺六丁目7番9号脇緑地,
97,group4,鎌倉市,1-4,十二所967番地,35.3163116,139.5780032,0,,十二所公園フェンス,
98,group4,鎌倉市,1-5,浄明寺六丁目18番,35.3136922,139.568264,0,,（仮称）浄明寺緑地前［浄明寺六丁目16番付近］,
99,group4,鎌倉市,1-6,浄明寺六丁目2番,35.3164438,139.5765431,0,,（仮称）浄明寺緑地前［ハイランド坂下バス停前緑地］,
100,group4,鎌倉市,1-7,十二所943番地1,35.31944,139.5771361,0,,ニツ橋児童遊園フェンス,
101,group4,鎌倉市,2-1,二階堂792番地4,35.3254193,139.5689307,2,,資材置場塀,
102,group4,鎌倉市,2-2,二階堂878番地,35.3236629,139.5655039,2,,第二小学校フェンス,
103,group4,鎌倉市,2-3,二階堂878番地,35.3236629,139.5655039,2,,第二小学校体育館前植込み,
104,group4,鎌倉市,2-4,二階堂115番地,35.3254728,139.5668441,2,,岩崎宅フェンス,
105,group4,鎌倉市,2-5,二階堂321番地1,35.3297193,139.5712889,2,,大塔宮パス停付近横断防止柵,
106,group4,鎌倉市,2-6,浄明寺二丁目572-3地内,35.3180229,139.5693784,2,,犬懸橋南滑川転落防止柵,
107,group4,鎌倉市,2-7,二階堂257番地5,35.3305939,139.5676073,2,,二階堂2号緑地,
108,group4,鎌倉市,3-1,西御門一丁目8番,35.3276198,139.5599861,1,,国大附属中西御門運動場前植込み,
109,group4,鎌倉市,3-2,雪ノ下三丁目11番45号,35.3248514,139.561502,2,,清泉小学校北側倉庫前フェンス,
110,group4,鎌倉市,3-3,雪ノ下三丁目5番10号,35.3243984,139.5581486,4,,平野宅前国大附属小学校生垣,
111,group4,鎌倉市,3-4,雪ノ下三丁目5番10号,35.3243984,139.5581486,5,,国大附属小学校フェンス,
112,group4,鎌倉市,3-5,雪ノ下三丁目5番10号,35.3243984,139.5581486,6,,国大附属小学校石垣,
113,group4,鎌倉市,3-6,雪ノ下二丁目2番12号,35.3242756,139.5524631,0,,川喜多映画記念館,
114,group4,鎌倉市,3-7,雪ノ下三丁目10番3号,35.3236486,139.5612396,1,,清泉小学校ラファエラ広場フェンス,
115,group4,鎌倉市,4-1,小町二丁目14番4号,35.3206231,139.5536104,2,,カトリック雪ノ下教会フェンス,
116,group4,鎌倉市,4-2,小町一丁目8番4号,35.3192137,139.5525028,4,,小町サイクルパークフェンス,
117,group4,鎌倉市,4-3,小町二丁目4番,35.3222063,139.5509931,5,,JR柵,
118,group4,鎌倉市,4-4,小町一丁目10番3号,35.3181385,139.5519458,6,,鎌倉郵便局南側フェンス,
119,group4,鎌倉市,4-5,小町二丁目23番12号,35.3191524,139.5541159,0,,細川宅塀,
120,group4,鎌倉市,4-6,小町一丁目12番7号,35.3174426,139.5531056,1,,本覚寺塀,
121,group4,鎌倉市,4-7,小町一丁目13番,35.3173902,139.5517093,2,,本覚寺駐車場前転落防止柵,
122,group4,鎌倉市,5-1,大町一丁目1091,35.3169931,139.55537,1,,比企谷幼稚園手前水路脇,
123,group4,鎌倉市,5-2,大町二丁目2番,35.314483,139.5523459,2,,JRフェンス,
124,group4,鎌倉市,5-3,大町五丁目14番6号,35.3101123,139.5613004,4,,大町ふれあい広場フェンス,
125,group4,鎌倉市,5-4,大町三丁目1番22号,35.3141785,139.5552939,5,,安養院石垣,
126,group4,鎌倉市,5-5,大町四丁目8番,35.3138478,139.5593493,6,,逆川転落防止柵,
127,group4,鎌倉市,5-6,大町三丁目19番,35.3148577,139.5619957,0,,花咲橋転落防止柵,
128,group4,鎌倉市,5-7,大町五丁目11番16号,35.3079732,139.5613636,1,,名越クリーンセンターフェンス,
