groupname,id,name,color,note
チーム深作,0,未完了,#FFDFBA,
チーム深作,1,完了,#B3FFBA,
チーム深作,2,要営業,#E1BAFF,
チーム深作,3,要設置（営業済）,#BAE1FF,
チーム深作,4,撤去済,#FFFFBA,
チーム深作,5,要補修,#FFB3BA,
チーム深作,6,その他,#0288D1,
